Date Value,Month-Year,Quarter-FY,Annual-FY,# of Council Files viewed (Monthly) via Website,# of City Contracts searched/accessed (Monthly) via Website,# of Ordinances searched/accessed (Monthly) via Website,# of Council votes searched/accessed (Monthly) via Website,# of Archival Records/Documents digitized on demand (Monthly),PROJECTED: # of Archival Records/Documents Digitized on demand (Monthly),"# of Improved ADA Compliant Polling Places (through installation of ramps, threshold ramps, disabled parking placards, call bells)","PROJECTED: # of Improved ADA Compliant Polling Places (through installation of ramps, threshold ramps, disabled parking placards, call bells)",# of Completed ADA Accessibility Polling Place Surveys,PROJECTED: # of Completed ADA Accessibility Polling Place Surveys,# of In-Person Early Voting Locations per Election,PROJECTED: # of In-Person Early Voting Locations per Election,Timely Approval of Annual Planning Reports (Project) ACTUAL,TARGET: Timely Approval of Annual Planning Reports,STATUS: Timely Approval of Annual Planning Reports,% of Contracts processed within 90 days,PROJECTED: 70% of all contracts executed within 90 days of authority,# of Records Boxes in the City Records Center eligible for Destruction (Monthly-Cumulative),# of Accounting Documents Processed (Annual FY),# of Accounting Documents Projected (Annual FY)
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,,,,,,,,,,,,,,,,,,,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,,,,,,,,,,,,,,,,,,,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,,4501,4013,684,,,,,,,,,,,,,,,,
07/31/2012 12:00:00 AM,Jul-12,,,,4774,4356,558,22,,,,,,,,,,,,,,,
08/31/2012 12:00:00 AM,Aug-12,,,81628,5152,4349,443,30,,,,,,,,,,,,,,,
09/30/2012 12:00:00 AM,Sep-12,Q1 FY13,,94691,4998,3638,597,26,,,,,,,,,,,,,,,
10/31/2012 12:00:00 AM,Oct-12,,,103269,5322,4287,1277,65,,,,,,,,,,,,,,,
11/30/2012 12:00:00 AM,Nov-12,,,77271,3823,3414,482,34,,,,,,,,,,,,,,,
12/31/2012 12:00:00 AM,Dec-12,Q2 FY13,,122176,4684,3148,479,37,,,,,,,,,,,,,,,
01/31/2013 12:00:00 AM,Jan-13,,,130971,5046,4290,2416,30,,,,,,,,,,,,,,,
02/28/2013 12:00:00 AM,Feb-13,,,159950,4123,4096,1478,55,,,,,,,,,,,,,,,
03/31/2013 12:00:00 AM,Mar-13,Q3 FY13,,102235,4403,5071,400,90,,,,,,1,,,,,,,,,
04/30/2013 12:00:00 AM,Apr-13,,,115689,4686,4496,600,90,,,,,,,,,,,,,,,
05/31/2013 12:00:00 AM,May-13,,,203940,4705,4583,726,26,,,,,,1,,,,,,,,,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,113429,5354,4578,526,15,,,,,,,,,,,,,,16100,
07/31/2013 12:00:00 AM,Jul-13,,,132613,6769,4481,496,19,,,,,,,,,,,50%,70%,,,
08/30/2013 12:00:00 AM,Aug-13,,,106106,5896,4518,478,34,,,,,,,,,,,67%,70%,,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,71484,4886,4215,323,52,,,,,,,,,,,17%,70%,,,
10/31/2013 12:00:00 AM,Oct-13,,,83972,5758,5334,357,55,,,,,,,,,,,17%,70%,,,
11/30/2013 12:00:00 AM,Nov-13,,,84790,4268,3635,170,20,,,,,,,,,,,14%,70%,,,
12/31/2014 12:00:00 AM,Dec-13,Q2 FY14,,72938,5768,3656,369,51,,,,,,,,,,,0%,70%,75378,,11209
01/31/2014 12:00:00 AM,Jan-14,,,74959,8796,4322,289,165,,,,,,,,,,,30%,70%,76220,,13800
02/28/2014 12:00:00 AM,Feb-14,Q3 FY14,,78478,5442,4198,280,23,,,,,,,,,,,0%,70%,73608,,20100
03/31/2014 12:00:00 AM,Mar-14,,,102144,5447,4259,420,119,,,,,,,,,,,67%,70%,72375,,18492
04/30/2014 12:00:00 AM,Apr-14,,,94050,6173,4300,290,43,,,,,,,,,,,0%,70%,72479,,31113
05/31/2014 12:00:00 AM,May-14,,,113846,7629,4408,241,137,,,,,,,,,,,100%,70%,72606,,33964
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,109589,9476,4516,292,41,50,,,,,,,,,,67%,70%,73490,16200,42157
07/31/2014 12:00:00 AM,Jul-14,,,98147,6338,4476,198,31,50,,,,,,,"Develop list of BIDs requiring approval of Annual Planning Report, Send reminder letters and emails, announce at BID consortium meeting monthly, announce training dates","Develop list of BIDs requiring approval of Annual Planning Report, Send reminder letters and emails, announce at BID consortium meeting monthly, announce training dates",On Target,80%,70%,73068,,42927
08/30/2014 12:00:00 AM,Aug-14,,,108028,6362,3179,353,20,50,,,89,50,2,2,,,,75%,70%,73069,,42927
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,100431,7300,131,263,23,50,,,25,,,,,,,100%,70%,73568,,68502
10/31/2014 12:00:00 AM,Oct-14,,,,,,,,50,,,,,,,,,,,,,,
11/30/2014 12:00:00 AM,Nov-14,,,,,,,,50,,,,,,,,,,,,,,
12/31/2015 12:00:00 AM,Dec-14,Q2 FY15,,,,,,,50,,,,,,,,"Update BID module to indicate BIDs in compliance, Commence reconciliation with Managment District Plans",Pending Data,,,,,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,50,,,,,,,,"Implement enhanced follow up process to ensure revision review and resubmittal, reminders include letters, emails and announcements",Pending Data,,,,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,50,,,,,,,,,,,,,,
03/30/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,50,,100,,150,,2,,"Achieve response rate of 75% by March 1st, follow up with non compliance letters, emials and reminders",Pending Data,,,,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,50,,,,,,,,,,,,,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,50,,100,,50,,2,,,,,,,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015,,,,,,50,,,,,,,,Complete action plan of 100% approval of annual planning reports no later thean June 1,Pending Data,,,,,
07/31/2015 12:00:00 AM,Jul-15,,,,,,,,,,,,,,,,,,,,,,
